"kabkot","halase","satuan","kemiskinan","satuan","wifi","satuan","uhahi","satuan","tahun"
KABUPATEN BANDUNG BARAT,"11.91",TAHUN,0.34,POIN,8,TITIK,73.1,TAHUN,2023
KABUPATEN PANGANDARAN,"12.3",TAHUN,0.27,POIN,10,TITIK,72.17,TAHUN,2023
KOTA BOGOR,"13.45",TAHUN,0.2,POIN,8,TITIK,74.45,TAHUN,2023
KOTA SUKABUMI,"13.6",TAHUN,0.31,POIN,5,TITIK,73.11,TAHUN,2023
KOTA BANDUNG,"14.24",TAHUN,0.15,POIN,8,TITIK,75.04,TAHUN,2023
KOTA CIREBON,"13.16",TAHUN,0.29,POIN,8,TITIK,73.08,TAHUN,2023
KOTA BEKASI,"14.12",TAHUN,0.13,POIN,8,TITIK,75.79,TAHUN,2023
KOTA DEPOK,"13.96",TAHUN,0.03,POIN,5,TITIK,75.23,TAHUN,2023
KOTA CIMAHI,"13.84",TAHUN,0.1,POIN,8,TITIK,74.8,TAHUN,2023
KOTA TASIKMALAYA,"13.49",TAHUN,0.32,POIN,8,TITIK,72.92,TAHUN,2023
KOTA BANJAR,"13.27",TAHUN,0.12,POIN,8,TITIK,71.8,TAHUN,2023
