id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,harapan_lama_sekolah,satuan,tahun
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12.89,TAHUN,2014
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11.62,TAHUN,2014
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,11.44,TAHUN,2014
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11.33,TAHUN,2014
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11.64,TAHUN,2014
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,11.73,TAHUN,2014
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11.06,TAHUN,2014
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11.89,TAHUN,2014
127,32,JAWA BARAT,3271,KOTA BOGOR,12.23,TAHUN,2014
128,32,JAWA BARAT,3272,KOTA SUKABUMI,13.18,TAHUN,2014
129,32,JAWA BARAT,3273,KOTA BANDUNG,13.33,TAHUN,2014
130,32,JAWA BARAT,3274,KOTA CIREBON,12.93,TAHUN,2014
131,32,JAWA BARAT,3275,KOTA BEKASI,13.28,TAHUN,2014
132,32,JAWA BARAT,3276,KOTA DEPOK,13.3,TAHUN,2014
133,32,JAWA BARAT,3277,KOTA CIMAHI,13.71,TAHUN,2014
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13.36,TAHUN,2014
135,32,JAWA BARAT,3279,KOTA BANJAR,12.42,TAHUN,2014
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,11.83,TAHUN,2015
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12.13,TAHUN,2015
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11.83,TAHUN,2015
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12.13,TAHUN,2015
140,32,JAWA BARAT,3205,KABUPATEN GARUT,11.65,TAHUN,2015
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12.44,TAHUN,2015
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,13.59,TAHUN,2015
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12.03,TAHUN,2015
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,11.79,TAHUN,2015
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11.74,TAHUN,2015
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12.9,TAHUN,2015
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,12.09,TAHUN,2015
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,11.46,TAHUN,2015
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11.44,TAHUN,2015
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11.69,TAHUN,2015
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,11.93,TAHUN,2015
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11.39,TAHUN,2015
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11.99,TAHUN,2015
154,32,JAWA BARAT,3271,KOTA BOGOR,12.36,TAHUN,2015
155,32,JAWA BARAT,3272,KOTA SUKABUMI,13.24,TAHUN,2015
156,32,JAWA BARAT,3273,KOTA BANDUNG,13.63,TAHUN,2015
157,32,JAWA BARAT,3274,KOTA CIREBON,12.94,TAHUN,2015
158,32,JAWA BARAT,3275,KOTA BEKASI,13.36,TAHUN,2015
159,32,JAWA BARAT,3276,KOTA DEPOK,13.54,TAHUN,2015
160,32,JAWA BARAT,3277,KOTA CIMAHI,13.73,TAHUN,2015
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13.37,TAHUN,2015
162,32,JAWA BARAT,3279,KOTA BANJAR,12.95,TAHUN,2015
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,12.05,TAHUN,2016
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12.18,TAHUN,2016
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11.88,TAHUN,2016
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12.42,TAHUN,2016
167,32,JAWA BARAT,3205,KABUPATEN GARUT,11.69,TAHUN,2016
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12.46,TAHUN,2016
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,13.65,TAHUN,2016
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12.04,TAHUN,2016
